±ø½X	²Õ¥ó¥N½X	²Õ¥ó±ø½X	¸j©w®É¶¡	¸j©w¤H­û
516-22011400300003	U2BP PN2	78626-2152-00026	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	U2BP SN2	505-21050700710026	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB PN	78625-2152-00008	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB SN	505-21050700910008	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB1 DIMM0	NCA12107020240193	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB1 DIMM1	NCA12107020240192	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB PN2	78625-2152-00002	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB SN2	505-21050700910002	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB2 DIMM1	NCA12107020240191	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	KSB2 DIMM0	NCA12107020240190	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	ATHENA MBSN	505-21072000110006	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	MBSN	84183-2149-00006	2022-1-19 12:59:01	«J¨Î§»
516-22011400300003	YB BLADE SN	C0-0019-14-01TBA2204AC238A0	2022-1-19 12:59:01	«J¨Î§»
516-22011400300004	SPPN	M06-01213-G4_A04	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	YB ABB-FLB	7C-0030-00R03	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	YB U2BP PN	7C-0032-01-01	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	YB U2BP PN2	7C-0032-01-01	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	YB KSB PN	7C-0031-00-01	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	YB KSB PN2	7C-0031-00-01	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	ATHENA MBPN	7C-0022-02-03	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	ABB-FLB	505-21050700410018	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	U2BP PN	78626-2152-00003	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	U2BP SN	505-21050700710003	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	U2BP PN2	78626-2152-00021	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	U2BP SN2	505-21050700710021	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB PN	78625-2152-00010	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB SN	505-21050700910010	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB1 DIMM0	NCA12107020240189	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB1 DIMM1	NCA12107020240188	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB PN2	78625-2152-00004	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB SN2	505-21050700910004	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB2 DIMM1	NCA12107020240187	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	KSB2 DIMM0	NCA12107020240186	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	ATHENA MBSN	505-21072000110007	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	MBSN	84183-2149-00007	2022-1-19 13:15:48	«J¨Î§»
516-22011400300004	YB BLADE SN	C0-0019-14-01TBA2204AC238AC	2022-1-19 13:15:48	«J¨Î§»
516-22011400300005	SPPN	M06-01213-G4_A04	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	YB ABB-FLB	7C-0030-00R03	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	YB U2BP PN	7C-0032-01-01	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	YB U2BP PN2	7C-0032-01-01	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	YB KSB PN	7C-0031-00-01	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	YB KSB PN2	7C-0031-00-01	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	ATHENA MBPN	7C-0022-02-03	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	ABB-FLB	505-21050700410028	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	U2BP PN	78626-2152-00016	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	U2BP SN	505-21050700710016	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	U2BP PN2	78626-2152-00022	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	U2BP SN2	505-21050700710022	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB PN	78625-2152-00003	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB SN	505-21050700910003	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB1 DIMM0	NCA12107020240185	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB1 DIMM1	NCA12107020240184	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB PN2	78625-2152-00009	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB SN2	505-21050700910009	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB2 DIMM1	NCA12107020240183	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	KSB2 DIMM0	NCA12107020240182	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	ATHENA MBSN	505-21072000110001	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	MBSN	84183-2149-00001	2022-1-19 13:29:45	«J¨Î§»
516-22011400300005	YB BLADE SN	C0-0019-14-01TBA2204AC23864	2022-1-19 13:29:45	«J¨Î§»
516-22011400300006	SPPN	M06-01213-G4_A04	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	YB ABB-FLB	7C-0030-00R03	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	YB U2BP PN	7C-0032-01-01	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	YB U2BP PN2	7C-0032-01-01	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	YB KSB PN	7C-0031-00-01	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	YB KSB PN2	7C-0031-00-01	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	ATHENA MBPN	7C-0022-02-03	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	ABB-FLB	505-21050700410014	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	U2BP PN	78626-2152-00025	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	U2BP SN	505-21050700710025	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	U2BP PN2	78626-2152-00040	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	U2BP SN2	505-21050700710040	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB PN	78625-2152-00012	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB SN	505-21050700910012	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB1 DIMM0	NCA12107020240181	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB1 DIMM1	NCA12107020240180	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB PN2	78625-2152-00006	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB SN2	505-21050700910006	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB2 DIMM1	NCA12107020240179	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	KSB2 DIMM0	NCA12107020240178	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	ATHENA MBSN	505-21072000110009	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	MBSN	84183-2149-00009	2022-1-19 13:40:11	«J¨Î§»
516-22011400300006	YB BLADE SN	C0-0019-14-01TBA2204AC238C4	2022-1-19 13:40:11	«J¨Î§»
516-22011400300007	SPPN	M06-01213-G4_A04	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	YB ABB-FLB	7C-0030-00R03	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	YB U2BP PN	7C-0032-01-01	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	YB U2BP PN2	7C-0032-01-01	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	YB KSB PN	7C-0031-00-01	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	YB KSB PN2	7C-0031-00-01	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	ATHENA MBPN	7C-0022-02-03	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	ABB-FLB	505-21050700410015	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	U2BP PN	78626-2152-00017	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	U2BP SN	505-21050700710017	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	U2BP PN2	78626-2152-00020	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	U2BP SN2	505-21050700710020	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB PN	78625-2152-00019	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB SN	505-21050700910019	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB1 DIMM0	NCA12107020240177	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB1 DIMM1	NCA12107020240176	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB PN2	78625-2152-00013	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB SN2	505-21050700910013	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB2 DIMM1	NCA12107020240175	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	KSB2 DIMM0	NCA12107020240174	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	ATHENA MBSN	505-21072000110010	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	MBSN	84183-2149-00010	2022-1-19 13:50:10	«J¨Î§»
516-22011400300007	YB BLADE SN	C0-0019-14-01TBA2204AC238D0	2022-1-19 13:50:10	«J¨Î§»
516-22011400300008	SPPN	M06-01213-G4_A04	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	YB ABB-FLB	7C-0030-00R03	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	YB U2BP PN	7C-0032-01-01	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	YB U2BP PN2	7C-0032-01-01	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	YB KSB PN	7C-0031-00-01	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	YB KSB PN2	7C-0031-00-01	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	ATHENA MBPN	7C-0022-02-03	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	ABB-FLB	505-21050700410103	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	U2BP PN	78626-2152-00018	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	U2BP SN	505-21050700710018	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	U2BP PN2	78626-2152-00027	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	U2BP SN2	505-21050700710027	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB PN	78625-2152-00011	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB SN	505-21050700910011	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB1 DIMM0	NCA12107020240173	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB1 DIMM1	NCA12107020240172	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB PN2	78625-2152-00005	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB SN2	505-21050700910005	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB2 DIMM1	NCA12107020240171	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	KSB2 DIMM0	NCA12107020240170	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	ATHENA MBSN	505-21072000110008	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	MBSN	84183-2149-00008	2022-1-19 14:00:50	«J¨Î§»
516-22011400300008	YB BLADE SN	C0-0019-14-01TBA2204AC238B8	2022-1-19 14:00:50	«J¨Î§»
516-22011400300009	KSB PN2	78625-2152-00021	2022-1-19 16:21:02	¬_­³§»
516-22011400300009	SPPN	M06-01213-G4_A04	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	YB ABB-FLB	7C-0030-00R03	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	YB U2BP PN	7C-0032-01-01	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	YB U2BP PN2	7C-0032-01-01	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	YB KSB PN	7C-0031-00-01	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	YB KSB PN2	7C-0031-00-01	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	ATHENA MBPN	7C-0022-02-03	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	ABB-FLB	505-21050700410011	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	U2BP PN	78626-2152-00007	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	U2BP SN	505-21050700710007	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	U2BP PN2	78626-2152-00014	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	U2BP SN2	505-21050700710014	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	KSB PN	78625-2152-00022	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	KSB SN	505-21050700910022	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	KSB1 DIMM0	NCA12107020240169	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	KSB1 DIMM1	NCA12107020240168	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	KSB SN2	505-21050700910021	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	KSB2 DIMM1	NCA12107020240167	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	KSB2 DIMM0	NCA12107020240166	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	ATHENA MBSN	505-21072000110022	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	MBSN	84183-2149-00022	2022-1-19 14:11:55	«J¨Î§»
516-22011400300009	YB BLADE SN	C0-0019-14-01TBA2204AC23960	2022-1-19 14:11:55	«J¨Î§»
516-22011400300010	SPPN	M06-01213-G4_A04	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	YB ABB-FLB	7C-0030-00R03	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	YB U2BP PN	7C-0032-01-01	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	YB U2BP PN2	7C-0032-01-01	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	YB KSB PN	7C-0031-00-01	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	YB KSB PN2	7C-0031-00-01	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	ATHENA MBPN	7C-0022-02-03	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	ABB-FLB	505-21050700410002	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	U2BP PN	78626-2152-00005	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	U2BP SN	505-21050700710005	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	U2BP PN2	78626-2152-00001	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	U2BP SN2	505-21050700710001	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB PN	78625-2152-00014	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB SN	505-21050700910014	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB1 DIMM0	NCA12107020240165	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB1 DIMM1	NCA12107020240164	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB PN2	78625-2152-00020	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB SN2	505-21050700910020	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB2 DIMM1	NCA12107020240163	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	KSB2 DIMM0	NCA12107020240162	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	ATHENA MBSN	505-21072000110002	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	MBSN	84183-2149-00002	2022-1-19 14:27:19	«J¨Î§»
516-22011400300010	YB BLADE SN	C0-0019-14-01TBA2204AC23870	2022-1-19 14:27:19	«J¨Î§»
516-22011400300011	SPPN	M06-01213-G4_A04	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	YB ABB-FLB	7C-0030-00R03	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	YB U2BP PN	7C-0032-01-01	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	YB U2BP PN2	7C-0032-01-01	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	YB KSB PN	7C-0031-00-01	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	YB KSB PN2	7C-0031-00-01	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	ATHENA MBPN	7C-0022-02-03	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	ABB-FLB	505-21050700410105	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	U2BP PN	78626-2152-00034	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	U2BP SN	505-21050700710034	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	U2BP PN2	78626-2152-00044	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	U2BP SN2	505-21050700710044	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB PN	78625-2152-00023	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB SN	505-21050700910023	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB1 DIMM0	NCA12107020240161	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB1 DIMM1	NCA12107020240160	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB PN2	78625-2152-00024	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB SN2	505-21050700910024	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB2 DIMM1	NCA12107020240159	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	KSB2 DIMM0	NCA12107020240158	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	ATHENA MBSN	505-21072000110046	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	MBSN	84183-2149-00046	2022-1-19 14:58:13	«J¨Î§»
516-22011400300011	YB BLADE SN	C0-0019-14-01TBA2204AC23A80	2022-1-19 14:58:13	«J¨Î§»
516-22011400300012	SPPN	M06-01213-G4_A04	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	YB ABB-FLB	7C-0030-00R03	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	YB U2BP PN	7C-0032-01-01	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	YB U2BP PN2	7C-0032-01-01	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	YB KSB PN	7C-0031-00-01	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	YB KSB PN2	7C-0031-00-01	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	ATHENA MBPN	7C-0022-02-03	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	ABB-FLB	505-21050700410093	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	U2BP PN	78626-2152-00006	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	U2BP SN	505-21050700710006	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	U2BP PN2	78626-2152-00013	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	U2BP SN2	505-21050700710013	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB PN	78625-2152-00016	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB SN	505-21050700910016	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB1 DIMM0	NCA12107020240157	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB1 DIMM1	NCA12107020240156	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB PN2	78625-2152-00015	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB SN2	505-21050700910015	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB2 DIMM1	NCA12107020240155	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	KSB2 DIMM0	NCA12107020240154	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	ATHENA MBSN	505-21072000110003	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	MBSN	84183-2149-00003	2022-1-19 15:15:44	«J¨Î§»
516-22011400300012	YB BLADE SN	C0-0019-14-01TBA2204AC2387C	2022-1-19 15:15:44	«J¨Î§»
516-22011400300013	SPPN	M06-01213-G4_A04	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	YB ABB-FLB	7C-0030-00R03	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	YB U2BP PN	7C-0032-01-01	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	YB U2BP PN2	7C-0032-01-01	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	YB KSB PN	7C-0031-00-01	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	YB KSB PN2	7C-0031-00-01	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	ATHENA MBPN	7C-0022-02-03	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	ABB-FLB	505-21050700410008	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	U2BP PN	78626-2152-00033	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	U2BP SN	505-21050700710033	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	U2BP PN2	78626-2152-00032	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	U2BP SN2	505-21050700710032	2022-1-19 15:28:42	«J¨Î§»
516-22011400300013	KSB PN	78625-2152-00031	2022-1-19 15:28:42	«J¨Î§»
